iter	MultiClass
0	0.677563882
1	0.6618032652
2	0.6483149363
3	0.6360581828
4	0.6237669977
5	0.6122513779
6	0.6019346538
7	0.5931871977
8	0.5874686393
9	0.5820409294
10	0.5732154651
11	0.5672297437
12	0.5582821135
13	0.5532149017
14	0.5468485143
15	0.5400951966
16	0.5357996383
17	0.5309801486
18	0.5293180749
19	0.5224227433
20	0.5176153727
21	0.5116133667
22	0.5061486368
23	0.5001594767
24	0.4955648681
25	0.4911562054
26	0.4860520086
27	0.4812664591
28	0.4772580121
29	0.4727158561
30	0.4719509628
31	0.4670134537
32	0.4636201032
33	0.459478948
34	0.4566344617
35	0.4515874398
36	0.446811171
37	0.4413649636
38	0.4369096612
39	0.4355654782
40	0.4321431418
41	0.4294391104
42	0.4263606911
43	0.4235647446
44	0.4211643482
45	0.4177729007
46	0.4145452001
47	0.4113790463
48	0.4088739621
49	0.405290974
50	0.4008147086
51	0.3983659164
52	0.3942225607
53	0.3916914192
54	0.3883451426
55	0.3846105825
56	0.3810958915
57	0.3781242925
58	0.3754439722
59	0.3730234978
60	0.3698060869
61	0.3670057534
62	0.3646733222
63	0.3644460393
64	0.3618127393
65	0.3590516988
66	0.3559674029
67	0.3521955773
68	0.3491826894
69	0.3459574392
70	0.3444571216
71	0.3400056013
72	0.3367004015
73	0.3340051013
74	0.3319043959
75	0.3292741498
76	0.3262302997
77	0.3238133462
78	0.3199344958
79	0.316847552
80	0.3138081022
81	0.3112519046
82	0.3089425518
83	0.3064251663
84	0.3050732463
85	0.302338011
86	0.3003926389
87	0.2980600355
88	0.2952727748
89	0.2929580288
90	0.2902959189
91	0.2879499144
92	0.2866327002
93	0.284396249
94	0.2829003991
95	0.2806090867
96	0.2787794649
97	0.2770613703
98	0.2743187915
99	0.272635736
100	0.2707159481
101	0.2690951599
102	0.2672003736
103	0.2653448401
104	0.26262635
105	0.260136385
106	0.2583498428
107	0.2565239685
108	0.2546763576
109	0.2528685172
110	0.2500567641
111	0.2484760689
112	0.2465011886
113	0.2447272723
114	0.2422663969
115	0.2406493223
116	0.2390516526
117	0.2369797426
118	0.2348290951
119	0.2333582566
120	0.2318503763
121	0.230603811
122	0.2293070392
123	0.228037269
124	0.2266936813
125	0.2250359934
126	0.2234904769
127	0.222161203
128	0.2207489491
129	0.2190880324
130	0.2178498051
131	0.2158561142
132	0.2142919274
133	0.2130397317
134	0.2119827578
135	0.2107382875
136	0.2093057355
137	0.2078325738
138	0.2062894246
139	0.2048207242
140	0.2034997575
141	0.2018931431
142	0.2007591347
143	0.1999432231
144	0.1985710294
145	0.197636165
146	0.1961079688
147	0.1951046777
148	0.1940813191
149	0.1929404853
