iter	Passed	Remaining
0	0	865
1	6	3089
2	10	3593
3	15	3839
4	19	3979
5	24	4085
6	29	4177
7	34	4284
8	35	3885
9	35	3537
10	40	3663
11	46	3818
12	52	3983
13	58	4115
14	63	4197
15	69	4261
16	74	4293
17	79	4352
18	80	4144
19	85	4211
20	91	4288
21	98	4392
22	105	4461
23	111	4553
24	117	4593
25	123	4608
26	128	4622
27	134	4667
28	140	4713
29	146	4752
30	147	4614
31	154	4686
32	160	4707
33	167	4750
34	173	4780
35	178	4787
36	184	4805
37	191	4853
38	198	4900
39	201	4847
40	208	4878
41	214	4897
42	220	4902
43	225	4899
44	229	4880
45	234	4867
46	239	4850
47	243	4828
48	247	4805
49	251	4784
50	256	4772
51	261	4759
52	266	4760
53	271	4761
54	276	4756
55	282	4755
56	286	4744
57	291	4731
58	295	4718
59	300	4703
60	304	4686
61	308	4671
62	313	4656
63	313	4585
64	318	4574
65	322	4562
66	326	4549
67	331	4537
68	335	4526
69	340	4519
70	345	4518
71	350	4517
72	355	4518
73	361	4526
74	367	4529
75	372	4527
76	377	4520
77	381	4509
78	385	4499
79	390	4490
80	395	4481
81	399	4472
82	403	4459
83	407	4448
84	412	4442
85	417	4432
86	421	4423
87	426	4415
88	430	4407
89	435	4400
90	440	4398
91	445	4397
92	450	4392
93	455	4387
94	460	4382
95	464	4374
96	468	4364
97	473	4356
98	477	4347
99	482	4339
100	486	4329
101	490	4321
102	495	4314
103	499	4306
104	504	4298
105	508	4290
106	513	4282
107	517	4275
108	522	4269
109	526	4261
110	531	4254
111	535	4246
112	539	4237
113	544	4230
114	548	4223
115	553	4215
116	557	4208
117	562	4201
118	566	4193
119	570	4184
120	575	4178
121	579	4174
122	584	4168
123	589	4162
124	594	4161
125	599	4159
126	604	4156
127	609	4151
128	613	4144
129	618	4136
130	622	4130
131	626	4122
132	631	4115
133	635	4109
134	640	4102
135	644	4096
136	649	4089
137	653	4080
138	657	4072
139	661	4065
140	666	4059
141	670	4052
142	675	4045
143	679	4040
144	684	4034
145	688	4029
146	693	4025
147	698	4021
148	703	4017
149	707	4011
