,epx_num,lr,pos_weight,mix_up_bool,const_max,optim_threshold_stu,optim_threshold_tch,Val_WMA_stu,Val_WMA_tch,Test_WMA_stu,Test_WMA_tch
0,1,0.001,3.0,False,1.0,0.13,0.0,0.4891041162227603,1.0,0.7277628032345014,0.7223719676549866
1,2,0.001,3.0,True,1.0,0.8300000000000001,0.0,0.4891041162227603,1.0,0.7466307277628033,0.7681940700808625
2,3,0.001,3.0,False,2.0,0.41000000000000003,0.0,0.5278450363196125,1.0,0.7601078167115903,0.7493261455525606
3,4,0.001,3.0,True,2.0,0.06,0.0,0.4939467312348668,1.0,0.7277628032345014,0.7358490566037735
4,5,0.001,4.0,False,1.0,0.18,0.0,0.5036319612590799,1.0,0.7547169811320755,0.7493261455525606
5,6,0.001,4.0,True,1.0,0.55,0.0,0.513317191283293,1.0,0.7951482479784366,0.7196765498652291
6,7,0.001,4.0,False,2.0,0.6900000000000001,0.0,0.5205811138014528,1.0,0.7870619946091644,0.7574123989218329
7,8,0.001,4.0,True,2.0,0.73,0.0,0.5036319612590799,1.0,0.7547169811320755,0.7628032345013477
8,9,0.001,5.0,False,1.0,0.04,0.0,0.48426150121065376,1.0,0.7547169811320755,0.6711590296495957
9,10,0.001,5.0,True,1.0,0.8,0.0,0.5375302663438256,1.0,0.7358490566037735,0.7169811320754716
10,11,0.001,5.0,False,2.0,0.9400000000000001,0.0,0.4915254237288136,1.0,0.7628032345013477,0.6792452830188679
11,12,0.001,5.0,True,2.0,0.92,0.0,0.5036319612590799,1.0,0.7681940700808625,0.6954177897574124
12,13,0.0005,3.0,False,1.0,0.45,0.0,0.5278450363196125,1.0,0.7547169811320755,0.6792452830188679
13,14,0.0005,3.0,True,1.0,0.4,0.0,0.5205811138014528,1.0,0.7196765498652291,0.706199460916442
14,15,0.0005,3.0,False,2.0,0.73,0.0,0.4915254237288136,1.0,0.7169811320754716,0.7304582210242587
15,16,0.0005,3.0,True,2.0,0.54,0.0,0.5060532687651331,1.0,0.7681940700808625,0.7223719676549866
16,17,0.0005,4.0,False,1.0,0.66,0.0,0.47699757869249393,1.0,0.7358490566037735,0.6792452830188679
17,18,0.0005,4.0,True,1.0,0.65,0.0,0.5181598062953995,1.0,0.7628032345013477,0.7493261455525606
18,19,0.0005,4.0,False,2.0,0.59,0.0,0.5472154963680388,1.0,0.7762803234501348,0.7223719676549866
19,20,0.0005,4.0,True,2.0,0.76,0.0,0.49878934624697335,1.0,0.7870619946091644,0.6900269541778976
20,21,0.0005,5.0,False,1.0,0.84,0.0,0.5399515738498789,1.0,0.7358490566037735,0.6846361185983828
21,22,0.0005,5.0,True,1.0,0.9,0.99,0.5012106537530266,0.6818181818181818,0.7574123989218329,0.7735849056603774
22,23,0.0005,5.0,False,2.0,0.49,0.0,0.49878934624697335,1.0,0.7358490566037735,0.6846361185983828
23,24,0.0005,5.0,True,2.0,0.9500000000000001,0.0,0.5302663438256658,1.0,0.7493261455525606,0.7358490566037735
24,25,0.0001,3.0,False,1.0,0.0,0.0,0.4576271186440678,1.0,0.6442048517520216,0.6388140161725068
25,26,0.0001,3.0,True,1.0,0.53,0.0,0.4552058111380145,1.0,0.7142857142857143,0.6792452830188679
26,27,0.0001,3.0,False,2.0,0.16,0.0,0.46973365617433416,1.0,0.7331536388140162,0.6954177897574124
27,28,0.0001,3.0,True,2.0,0.39,0.74,0.43341404358353514,0.5,0.6684636118598383,0.6630727762803235
28,29,0.0001,4.0,False,1.0,0.5,0.0,0.4188861985472155,0.6,0.6873315363881402,0.633423180592992
29,30,0.0001,4.0,True,1.0,0.91,0.71,0.4213075060532688,0.6285714285714286,0.6630727762803235,0.6873315363881402
30,31,0.0001,4.0,False,2.0,0.84,0.66,0.4430992736077482,0.5873015873015873,0.660377358490566,0.660377358490566
31,32,0.0001,4.0,True,2.0,0.4,0.22,0.46973365617433416,0.6571428571428571,0.7008086253369272,0.6900269541778976
32,33,0.0001,5.0,False,1.0,0.02,0.17,0.4213075060532688,0.6285714285714286,0.6307277628032345,0.6522911051212938
33,34,0.0001,5.0,True,1.0,0.78,0.0,0.4430992736077482,1.0,0.6738544474393531,0.6145552560646901
34,35,0.0001,5.0,False,2.0,0.8300000000000001,0.76,0.41404358353510895,0.6285714285714286,0.6199460916442049,0.6226415094339622
35,36,0.0001,5.0,True,2.0,0.75,0.0,0.41646489104116224,1.0,0.660377358490566,0.6253369272237197
